content
beberapa bulan kali pesan gocar selalu kecewa utama lokasi jakarta titik tidak sesuai hal ulang kali padahal maps tunjuk apps tumpang benar beda dg maps driver otomatis driver ikut sama maps nya beberapa tidak bebal ikutin tunjuk tumpang ditindaklanjuti tinggal langgan kalau kayak gin trimakasih
kecewa aplikasi nya mulai error padahal jaring bagus hp bagus ketika pilih layan gosend bahkan tidak jalan menit lebih nunggu ngirim chat gabisa telpon gabisa driver seperti lihat map tetap stucktidak jalan
makin hari makin update tidak jelas tidak lihat jarak resto harus pilih tempat lihat jarak saldo tabung gopay sangat lambat saya terima baik jangan banyak update tidak jelas mau nya apa akhir tidak ush banyak tingkah kalau mau update cukup bagi promonya kalau terus begini daya alih belah terimakasih
aplikasi susah user pertama mau ganti nomor sudah daftar susah dua mau ubah pin login tidak menu lupa pin terus bagaimana masuk tiga kurang bagi go transit suka lama munculin barcodeny scan barcodenya
aplikasi jelek hal transparasi transaksihistory transaksi baru laku tidak langsung lihat bagai guna bingung lihat transaksi baru laku hasil tidak waktu klik aktifitas muncul informasi guna belanja makan atau kendara tidak informasi seperti bayar langgan viu bayar pakai gopay tidak muncul gagal hasil
aplikasi makin berat hp ram kecil kasihan konsumen milik hp android biasa coolpad masih setia pakai jasa gojek lebih nyaman hp mereka tidak mampu loading sebab versi makin beratmb nya makin tinggi masuk apk mitra driver ada ubah versi selalu kendala hank lag error ribet terima kasih
baguscuma titik alamat sudah tentu selalu ubah sendiri alias tidak akurat jadi driver selalu kesasar lewat titik sudah setel aplikasi titik ubah pindah dua mohon sedia fitur hapus batal pesan sudah kirim antisipasi kalau misal hal pribadi privasi engga sengaja kirim driverjadi tingkat supaya lebih aman nyaman aplikasi
besar tip baik tidak tetap gofood gocar juga sedia kolom customer isi sendiri nilai dasar saldo gopay ikhlas customer digrabfood grabcar tip customer masuk nilai tentu gocar aplikasi tidak akurat lokasi jemput padahal pakai alamat rumah aplikasi gojek saja pakai lokasi selalu geser tidak akurat
alami beberapa masalah beberapa bulan lalu salah satu baru jadi sore hari kemarin mes makan ongkos kirim tapi keti makan tanya sampai ongkos kirim bahkan naik jadi jadi harga ongkos kirim naik otomatis tibatiba aplikasi sering alami dalam beberapa minggu akhir tolong bugerror sebut segera baik
sudah uninstal aplikasi gojek customer servicecall center nya sama sekali tidak fungsi sama sekali tidak hubung tidak komunikasi langsung useless benar gambar gojek tidak punya empati customernya gocar kalau driver telpon getar terlalu kencang sangat ganggu driver makin arogan akibat dua di atas
sekarang gojek app cuma bagus gofood nya kalau tumpang beberapa kali cancel ganti driver gocar pernah sulit mobil mungkin terlalu banyak promo jadi kalau tarif diskon driver suka tidak mau ambil tumpang dasar alam pribadi barusan order go ride lihat map driver nya tidak jalan jadi yang cancel
sangat kecewa pesan gofood mudah cepat driver layan beri order gofood satu resto drivernya antar tempat sangat kecewa awal harap cepat bahkan layan orang satu order
tidak alamat tuju tulis dicopy gmaps tetap tidak muncul aplikasi tidak guna enak grab ketik alamat ada digmap langsung muncul mudah guna tidak cari manual ada bahkan hilang kalau tidak apal daerah
